id,user,paragraph_id,term_1,term_2,base_term_1,base_term_2,family,relationship,family_id_time,relationship_id_time,total_time,task_id,task_completion_time
9653,DBXY2d7c8f1fafc0efe4fc4f,3,dna,surrounding environment,dna,surrounding environment,no_relationship,NA,10.84149718284607,0,10.84149718284607,46,2020-07-01 12:41:43.546105
9654,XYZT2d7c8f1fafc0efe4fc4f,30,eukaryotic,cells,eukaryotic cell,cell,taxonomy,is a type of,4.160609245300293,4.401076555252075,8.561685800552368,193,2020-07-01 12:48:23.75446
9655,XYZT2d7c8f1fafc0efe4fc4f,30,prokaryotic,eukaryotic,prokaryotic cell,eukaryotic cell,dont_know,NA,9.142940044403076,7.529610872268677,16.672550916671753,194,2020-07-01 12:48:40.72891
9656,XYZT2d7c8f1fafc0efe4fc4f,31,plasma membrane,cell,plasma membrane,cell,dont_know,NA,0.8001437187194824,0,0.8001437187194824,195,2020-07-01 12:48:41.757244
9657,XYZT2d7c8f1fafc0efe4fc4f,32,cell,efficient,cell,efficient,dont_know,NA,1.7713508605957031,0,1.7713508605957031,196,2020-07-01 12:48:43.715313
9658,5e162d7c8f1fafc0efe4fc4f,13,fimbriae,bacteria,fimbriae,bacterium,no_relationship,NA,3.9151856899261475,0,3.9151856899261475,108,2020-07-16 21:15:48.109847
9659,5e162d7c8f1fafc0efe4fc4f,13,host cell,attach,host cell,attach,dont_know,NA,1.448951244354248,0,1.448951244354248,109,2020-07-16 21:15:49.769614
9660,5e162d7c8f1fafc0efe4fc4f,13,host cell,bacteria,host cell,bacterium,dont_know,NA,1.211223840713501,0,1.211223840713501,110,2020-07-16 21:15:51.17495
9661,5e162d7c8f1fafc0efe4fc4f,13,attach,bacteria,attach,bacterium,dont_know,NA,1.2432975769042969,0,1.2432975769042969,111,2020-07-16 21:15:52.61473
9662,5e162d7c8f1fafc0efe4fc4f,14,organisms,microscopes,organism,microscope,dont_know,NA,1.095982551574707,0,1.095982551574707,112,2020-07-16 21:15:53.912498
9663,5e162d7c8f1fafc0efe4fc4f,14,organisms,microbes,organism,microbe,dont_know,NA,1.0518426895141602,0,1.0518426895141602,113,2020-07-16 21:15:55.157827
9664,5e162d7c8f1fafc0efe4fc4f,14,microscopes,microbes,microscope,microbe,dont_know,NA,0.7950818538665771,0,0.7950818538665771,114,2020-07-16 21:15:56.157356
9665,5e162d7c8f1fafc0efe4fc4f,15,mucus,microbes,mucus,microbe,dont_know,NA,3.0162513256073,0,3.0162513256073,115,2020-07-16 21:15:59.371805
9666,5e162d7c8f1fafc0efe4fc4f,16,microbes,body,microbe,body,dont_know,NA,3.038759469985962,0,3.038759469985962,116,2020-07-16 21:16:02.594784
9667,5e162d7c8f1fafc0efe4fc4f,17,disease,microorganisms,disease,microorganism,no_relationship,NA,1.2655761241912842,0,1.2655761241912842,117,2020-07-16 21:16:04.066074
9668,5e162d7c8f1fafc0efe4fc4f,17,disease,microbes,disease,microbe,no_relationship,NA,1.0235211849212646,0,1.0235211849212646,118,2020-07-16 21:16:05.364259
9669,5e162d7c8f1fafc0efe4fc4f,17,microorganisms,microbes,microorganism,microbe,no_relationship,NA,0.9470055103302002,0,0.9470055103302002,119,2020-07-16 21:16:06.657307
9670,DBMXYZ2d7c8f1fafc0efe4fc4f,3,cytosol,plasma membrane,cytosol,plasma membrane,no_relationship,NA,5.216681480407715,0,5.216681480407715,31,2020-07-17 13:58:09.79517
9671,DBMXYZ2d7c8f1fafc0efe4fc4f,3,cytosol,cellular component,cytosol,cellular component,no_relationship,NA,1.1111795902252197,0,1.1111795902252197,32,2020-07-17 13:58:11.084538
9672,DBMXYZ2d7c8f1fafc0efe4fc4f,3,cytosol,surrounding environment,cytosol,surrounding environment,dont_know,NA,4.027232646942139,0,4.027232646942139,33,2020-07-17 13:58:15.305722
9673,DBMXYZ2d7c8f1fafc0efe4fc4f,3,cytosol,genetic material,cytosol,genetic material,dont_know,NA,1.6264784336090088,0,1.6264784336090088,34,2020-07-17 13:58:17.132705
9674,DBMXYZ2d7c8f1fafc0efe4fc4f,3,cytosol,cytoplasm,cytosol,cytoplasm,dont_know,NA,1.5787174701690674,0,1.5787174701690674,35,2020-07-17 13:58:18.936844
9675,DBMXYZ2d7c8f1fafc0efe4fc4f,3,ribosomes,dna,ribosome,dna,dont_know,NA,2.2474524974823,0,2.2474524974823,36,2020-07-17 13:58:21.372947
9676,DBMXYZ2d7c8f1fafc0efe4fc4f,3,ribosomes,synthesize,ribosome,synthesis,dont_know,NA,1.7276408672332764,0,1.7276408672332764,37,2020-07-17 13:58:23.277419
9677,DBMXYZ2d7c8f1fafc0efe4fc4f,3,ribosomes,plasma membrane,ribosome,plasma membrane,dont_know,NA,1.173609972000122,0,1.173609972000122,38,2020-07-17 13:58:24.684686
9678,DBMXYZ2d7c8f1fafc0efe4fc4f,3,ribosomes,cellular component,ribosome,cellular component,dont_know,NA,1.1937975883483887,0,1.1937975883483887,39,2020-07-17 13:58:26.055312
9679,DBMXYZ2d7c8f1fafc0efe4fc4f,3,ribosomes,surrounding environment,ribosome,surrounding environment,dont_know,NA,0.8283319473266602,0,0.8283319473266602,40,2020-07-17 13:58:27.057847
9680,TGIF2d7c8f1fafc0efe4fc4f,0,cells,prokaryotic,cell,prokaryotic cell,dont_know,NA,3.7425739765167236,0,3.7425739765167236,0,2020-07-17 16:35:04.038079
9681,TGIF2d7c8f1fafc0efe4fc4f,0,cells,eukaryotic,cell,eukaryotic cell,dont_know,NA,1.3759710788726807,0,1.3759710788726807,1,2020-07-17 16:35:05.602526
9682,TGIF2d7c8f1fafc0efe4fc4f,0,prokaryotic,eukaryotic,prokaryotic cell,eukaryotic cell,dont_know,NA,4.473916292190552,0,4.473916292190552,2,2020-07-17 16:35:10.238607
9683,TGIF2d7c8f1fafc0efe4fc4f,1,archaea,prokaryotes,Archaea,prokaryote,dont_know,NA,1.3877692222595215,0,1.3877692222595215,3,2020-07-17 16:35:11.800369
9684,TGIF2d7c8f1fafc0efe4fc4f,1,archaea,single-celled organisms,Archaea,single-celled organism,dont_know,NA,1.7138395309448242,0,1.7138395309448242,4,2020-07-17 16:35:13.673509
9685,TGIF2d7c8f1fafc0efe4fc4f,1,archaea,bacteria,Archaea,bacterium,dont_know,NA,0.9027256965637207,0,0.9027256965637207,5,2020-07-17 16:35:14.756234
9686,TGIF2d7c8f1fafc0efe4fc4f,1,prokaryotes,single-celled organisms,prokaryote,single-celled organism,no_relationship,NA,1.3250963687896729,0,1.3250963687896729,6,2020-07-17 16:35:16.248529
9687,TGIF2d7c8f1fafc0efe4fc4f,1,prokaryotes,bacteria,prokaryote,bacterium,dont_know,NA,1.315413236618042,0,1.315413236618042,7,2020-07-17 16:35:17.724619
9688,TGIF2d7c8f1fafc0efe4fc4f,1,single-celled organisms,bacteria,single-celled organism,bacterium,dont_know,NA,1.0185492038726807,0,1.0185492038726807,8,2020-07-17 16:35:18.911924
9689,TGIF2d7c8f1fafc0efe4fc4f,2,eukaryotes,animal cells,eukaryote,animal cell,dont_know,NA,0.9901332855224609,0,0.9901332855224609,9,2020-07-17 16:35:20.086802
9690,TGIF2d7c8f1fafc0efe4fc4f,2,eukaryotes,protists,eukaryote,protist,dont_know,NA,1.3265831470489502,0,1.3265831470489502,10,2020-07-17 16:35:21.580135
9691,TGIF2d7c8f1fafc0efe4fc4f,2,eukaryotes,fungi,eukaryote,fungus,dont_know,NA,1.1026835441589355,0,1.1026835441589355,11,2020-07-17 16:35:22.842083
9692,OMG2d7c8f1fafc0efe4fc4f,22,treat,antibiotic source,treat,antibiotic source,dont_know,NA,2.183368682861328,0,2.183368682861328,128,2020-07-17 16:38:39.123016
9693,OMG2d7c8f1fafc0efe4fc4f,22,treat,microbiologists,treat,microbiologist,dont_know,NA,12.600452423095703,0,12.600452423095703,129,2020-07-17 16:38:51.944025
9694,OMG2d7c8f1fafc0efe4fc4f,22,treat,pharmaceutical sector,treat,pharmaceutical sector,dont_know,NA,0.8473155498504639,0,0.8473155498504639,130,2020-07-17 16:38:52.977371
9695,OMG2d7c8f1fafc0efe4fc4f,22,bacterial infections,development,bacterial infection,development,dont_know,NA,0.7656877040863037,0,0.7656877040863037,131,2020-07-17 16:38:53.947913
9696,OMG2d7c8f1fafc0efe4fc4f,22,bacterial infections,antibiotic source,bacterial infection,antibiotic source,NA,sdfsf,1.1505255699157715,3.052854537963867,4.203380107879639,132,2020-07-17 16:38:58.417058
9697,DBXY1232d7c8f1fafc0efe4fc4f,5,nucleus,prokaryote,nucleus,prokaryote,no_relationship,NA,5.693116664886475,0,5.693116664886475,66,2020-07-17 18:09:32.871283
9698,DBXY1232d7c8f1fafc0efe4fc4f,5,nucleus,unicellular organism,nucleus,unicellular organism,no_relationship,NA,1.0397961139678955,0,1.0397961139678955,67,2020-07-17 18:09:34.072069
9699,billy,9,environment,capsule,environment,capsule,dont_know,NA,6.3392274379730225,0,6.3392274379730225,79,2020-07-17 18:09:34.097206
9700,DBXY1232d7c8f1fafc0efe4fc4f,5,membrane-bound organelle,prokaryote,membrane-bound organelle,prokaryote,no_relationship,NA,1.1670703887939453,0,1.1670703887939453,68,2020-07-17 18:09:35.405474
9701,billy,9,environment,attach,environment,attach,no_relationship,NA,1.6292612552642822,0,1.6292612552642822,80,2020-07-17 18:09:35.878451
9702,DBXY1232d7c8f1fafc0efe4fc4f,5,membrane-bound organelle,unicellular organism,membrane-bound organelle,unicellular organism,no_relationship,NA,0.8734407424926758,0,0.8734407424926758,69,2020-07-17 18:09:36.452153
9703,DBXY1232d7c8f1fafc0efe4fc4f,5,prokaryote,unicellular organism,prokaryote,unicellular organism,no_relationship,NA,1.342343807220459,0,1.342343807220459,70,2020-07-17 18:09:37.957765
9704,DBXY1232d7c8f1fafc0efe4fc4f,6,nucleoid,prokaryotic dna,nucleoid,prokaryotic dna,no_relationship,NA,1.061492919921875,0,1.061492919921875,71,2020-07-17 18:09:39.190913
9705,billy,9,cell,capsule,cell,capsule,spatial,is located at,0.9285640716552734,3.132398843765259,4.060962915420532,81,2020-07-17 18:09:40.233577
9712,DBXY1232d7c8f1fafc0efe4fc4f,8,prevents dehydration,maintain its shape,prevent dehydration,maintain shape,no_relationship,NA,1.498114824295044,0,1.498114824295044,77,2020-07-17 18:09:47.606957
9713,DBXY1232d7c8f1fafc0efe4fc4f,9,environment,cell,environment,cell,no_relationship,NA,1.1360218524932861,0,1.1360218524932861,78,2020-07-17 18:09:48.905276
9716,DBXY1232d7c8f1fafc0efe4fc4f,9,cell,capsule,cell,capsule,no_relationship,NA,1.0319275856018066,0,1.0319275856018066,81,2020-07-17 18:09:52.812478
9717,billy,9,capsule,attach,capsule,attach,dont_know,NA,10.920497417449951,0,10.920497417449951,83,2020-07-17 18:09:53.012176
9718,DBXY1232d7c8f1fafc0efe4fc4f,9,cell,attach,cell,attach,dont_know,NA,0.8652958869934082,0,0.8652958869934082,82,2020-07-17 18:09:53.849212
9720,billy,10,flagella,pili,flagella,pili,no_relationship,NA,0.6519324779510498,0,0.6519324779510498,85,2020-07-17 18:09:54.786135
9721,DBXY1232d7c8f1fafc0efe4fc4f,9,capsule,attach,capsule,attach,dont_know,NA,1.1731410026550293,0,1.1731410026550293,83,2020-07-17 18:09:55.184276
9722,billy,10,flagella,prokaryotes,flagella,prokaryote,no_relationship,NA,0.6350274085998535,0,0.6350274085998535,86,2020-07-17 18:09:55.578022
9723,DBXY1232d7c8f1fafc0efe4fc4f,10,flagella,fimbriae,flagella,fimbriae,no_relationship,NA,0.9794487953186035,0,0.9794487953186035,84,2020-07-17 18:09:56.327508
